model_name,brand,body_type,segment,price_eur,maintenance_cost_year,seating_capacity,boot_capacity_l,safety_rating,energy_cost_100km,powertrain_type,fuel_type,sustainable,coche_familiar,costo_energia_anual,costo_total_anual
Kia R7 Pro,Kia,Sedan,D,57524,562,5,422,4,13.89,Petrol,Petrol,0,0,2083.5,2645.5
Fiat T-Class,Fiat,Crossover,D,51816,466,7,537,3,10.17,Diesel,Diesel,0,1,1525.5,1991.5
Mini P8x,Mini,Wagon,B,36041,609,5,740,4,7.24,Hybrid,Petrol+Electric,1,1,1086.0,1695.0
Honda F3x,Honda,Hatchback,A,25625,499,5,341,3,8.92,Petrol,Petrol,0,0,1338.0,1837.0
BMW E8 Pro,BMW,Hatchback,C,40468,511,5,465,3,5.36,Hybrid,Petrol+Electric,1,0,804.0,1315.0
Cupra EE-99,Cupra,SUV,B,36181,678,5,801,3,9.32,Petrol,Petrol,0,1,1398.0,2076.0
Hyundai D4 Pro,Hyundai,Wagon,C,40456,564,5,731,5,11.85,Petrol,Petrol,0,1,1777.5,2341.5
Kia QQ-11,Kia,Crossover,F,119420,880,7,625,4,10.74,Petrol,Petrol,0,1,1611.0,2491.0
Mercedes-Benz S66,Mercedes-Benz,Wagon,B,34166,529,5,772,5,10.41,Petrol,Petrol,0,1,1561.5,2090.5
Alfa Romeo 777,Alfa Romeo,SUV,C,36173,335,5,627,3,12.65,Petrol,Petrol,0,1,1897.5,2232.5
Skoda 666,Skoda,Sedan,D,57324,485,5,548,4,6.21,Hybrid,Petrol+Electric,1,0,931.5,1416.5
Aston Martin B-Class,Aston Martin,SUV,C,46875,481,5,820,4,12.18,Petrol,Petrol,0,1,1827.0,2308.0
Mazda D66,Mazda,Sedan,A,26084,506,5,456,5,9.69,Petrol,Petrol,0,0,1453.5,1959.5
Ford M-Class,Ford,Wagon,B,33018,781,5,606,4,8.48,Diesel,Diesel,0,1,1272.0,2053.0
Alfa Romeo Q-Class,Alfa Romeo,Sedan,E,73777,581,5,494,4,9.94,Hybrid,Petrol+Electric,1,0,1491.0,2072.0
Peugeot E77,Peugeot,Sedan,B,41938,542,5,550,4,10.55,Hybrid,Petrol+Electric,1,0,1582.5,2124.5
